                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2108,                 2.2418,                 2.6038,                0.60272,                 0.5741,                0.61194,                0.28688,                 1.8418,                 2.3399,                 2.5092,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.2546,                 2.1316,                 2.7887,                 0.5929,                0.66216,                0.59553,                0.29903,                 1.8502,                 2.0585,                 2.5228,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.1658,                 2.0494,                 2.5715,                0.60895,                0.44595,                0.57006,                0.24402,                 1.9492,                 2.2129,                 2.6464,               0.001307,               0.001307,               0.001307
                     37,                 2.1444,                 1.9899,                 2.5867,                0.64245,                0.47297,                0.57815,                0.26669,                 1.9241,                  2.201,                 2.6613,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.114,                 1.8201,                 2.5477,                0.63329,                0.48649,                0.61304,                0.23093,                 2.0524,                  2.249,                 2.7393,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.2665,                 2.0795,                 2.6519,                0.68905,                0.44595,                0.56798,                0.22308,                 2.0148,                 2.2969,                 2.7274,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.1801,                 1.9402,                 2.6481,                0.49007,                0.41892,                0.36378,                0.09577,                 2.2194,                 2.7838,                 2.8934,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.2283,                  1.913,                 2.5364,                0.59511,                0.51351,                0.53206,                0.15383,                 2.0336,                 2.4722,                 2.7357,               0.001208,               0.001208,               0.001208
                     42,                 2.0648,                 1.9037,                 2.5568,                0.75114,                0.53029,                0.60604,                 0.2584,                 1.8453,                 2.3098,                 2.6044,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1508,                 1.8301,                 2.5447,                 0.8248,                  0.509,                0.65754,                0.31945,                 1.8166,                 2.1328,                 2.5665,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.1035,                  1.805,                 2.5336,                0.82726,                0.64718,                0.78142,                0.39492,                 1.7762,                 1.9643,                 2.5029,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.1009,                 1.8806,                 2.5487,                0.59695,                0.63514,                0.66398,                0.30115,                 1.7763,                 2.1111,                 2.5017,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.0556,                 1.7428,                 2.4228,                 0.5031,                0.56757,                0.56969,                0.24777,                 1.8791,                 2.2521,                 2.5798,               0.001109,               0.001109,               0.001109
                     47,                 2.1018,                 1.7112,                 2.4973,                0.72287,                0.55405,                0.64536,                0.29462,                 1.8628,                  2.258,                 2.6359,              0.0010892,              0.0010892,              0.0010892
                     48,                   2.14,                 1.8576,                 2.6263,                0.80773,                0.66216,                0.78055,                0.40517,                 1.7491,                 1.9926,                 2.6036,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.0201,                 1.6588,                 2.3853,                0.77817,                 0.6163,                0.68753,                0.32489,                 1.9246,                 1.9532,                 2.6665,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.9316,                  1.667,                  2.408,                0.68875,                0.54054,                0.61018,                0.25947,                 1.9565,                 2.0327,                 2.7014,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8744,                 1.5675,                 2.3192,                0.56936,                0.51351,                0.49933,                0.20836,                 1.7977,                 2.1861,                 2.6264,                0.00101,                0.00101,                0.00101
                     52,                 2.0477,                 1.5953,                 2.4803,                0.62477,                0.45946,                0.55333,                0.29172,                 1.7358,                 2.1861,                 2.6011,              0.0009902,              0.0009902,              0.0009902
